Time,UAV0_X,UAV0_Y,UAV0_V,UAV0_Heading,UAV1_X,UAV1_Y,UAV1_V,UAV1_Heading
9.8,17.8976,5.76753,1.99569,1.64156,-2.10008,5.92744,1.99564,1.62929
9.9,18.0326,5.76459,1.99002,1.6415,-1.96432,5.92651,1.99015,1.62924
10,18.2042,5.7565,1.99589,1.64145,-1.79222,5.92067,1.99596,1.6292
10.1,18.3883,5.74404,1.99766,1.64141,-1.60786,5.91056,1.9977,1.62917
10.2,18.6299,5.72423,2.00647,1.64138,-1.36632,5.89349,2.00641,1.62914
10.3,18.7972,5.70602,1.99476,1.64134,-1.19875,5.87747,1.99477,1.62911
10.4,19.0154,5.68906,2.00287,1.6413,-0.980471,5.86308,2.00285,1.62908
10.5,19.2115,5.67515,1.99945,1.64126,-0.784118,5.85159,1.99946,1.62905
10.6,19.3756,5.65901,1.99458,1.64123,-0.619841,5.8376,1.9946,1.62903
10.7,19.54,5.66043,1.99529,1.6412,-0.454654,5.84125,1.99541,1.629
10.8,19.7099,5.64727,1.99569,1.64118,-0.284505,5.8303,1.99572,1.62899
10.9,19.8845,5.65298,1.99696,1.64116,-0.109081,5.83833,1.99709,1.62898
11,20.029,5.63239,1.99185,1.64117,0.03553,5.81971,1.99185,1.62898
11.1,20.2274,5.62161,2.00005,1.64116,0.234197,5.81138,2.00007,1.62898
11.2,20.4108,5.63302,1.99836,1.64116,0.418497,5.82521,1.99852,1.62898
11.3,20.5336,5.64751,1.98988,1.64119,0.542406,5.84163,1.99008,1.629
11.4,20.6955,5.6254,1.99466,1.64125,0.704309,5.82164,1.99463,1.62905
11.5,20.9067,5.63829,2.00235,1.64128,0.916293,5.83716,2.00249,1.62908
11.6,21.0849,5.63179,1.99722,1.64135,1.09489,5.83297,1.99726,1.62914
11.7,21.2509,5.60567,1.99517,1.64142,1.26066,5.809,1.99511,1.62919
11.8,21.481,5.59303,2.00424,1.64146,1.49081,5.79907,2.00423,1.62923
11.9,21.7223,5.56798,2.00532,1.64151,1.73186,5.77678,2.00524,1.62927
12,21.9498,5.54587,2.00348,1.64154,1.95912,5.75734,2.00342,1.62929
12.1,22.1514,5.53883,2.00039,1.64156,2.16109,5.7528,2.00042,1.62931
12.2,22.3245,5.52834,1.99661,1.64158,2.33447,5.74457,1.99664,1.62933
12.3,22.4911,5.49,1.99528,1.64161,2.50056,5.70834,1.99516,1.62935
12.4,22.643,5.47624,1.99393,1.6416,2.65262,5.69665,1.99395,1.62934
12.5,22.9003,5.47104,2.00764,1.64159,2.91026,5.69442,2.00766,1.62933
12.6,23.0668,5.45326,1.99565,1.64159,3.07681,5.67882,1.99564,1.62934
12.7,23.2599,5.44598,1.99938,1.64159,3.27026,5.67398,1.99942,1.62934
12.8,23.4925,5.43472,2.00418,1.6416,3.50301,5.66546,2.00418,1.62934
12.9,23.6565,5.42121,1.99557,1.64161,3.66724,5.65412,1.99559,1.62935
13,23.8978,5.40391,2.00512,1.64161,3.9085,5.63962,2.00509,1.62936
13.1,24.1323,5.38553,2.00412,1.64162,4.14292,5.62399,2.00408,1.62937
13.2,24.297,5.37133,1.99575,1.64163,4.30782,5.61196,1.99576,1.62937
13.3,24.4937,5.36069,1.99977,1.64163,4.50475,5.60376,1.99979,1.62937
13.4,24.6612,5.35095,1.99627,1.64163,4.67258,5.59623,1.9963,1.62937
13.5,24.8967,5.3353,2.00427,1.64164,4.90812,5.58334,2.00424,1.62938
13.6,25.1163,5.32221,2.00232,1.64165,5.12786,5.57288,2.00232,1.62939
13.7,25.3296,5.30031,2.00146,1.64166,5.34106,5.55353,2.00142,1.62939
13.8,25.5964,5.30072,2.00797,1.64166,5.60838,5.55701,2.00801,1.62939
13.9,25.789,5.28098,1.99903,1.64168,5.80093,5.53965,1.99901,1.62942
14,26.0156,5.26034,2.00299,1.6417,6.02741,5.52169,2.00295,1.62943
14.1,26.2314,5.24313,2.00177,1.64171,6.24328,5.50705,2.00174,1.62943
14.2,26.4229,5.23513,1.99917,1.64171,6.43513,5.50146,1.9992,1.62944
14.3,26.6494,5.23068,2.00314,1.64172,6.66201,5.49971,2.00318,1.62945
14.4,26.8309,5.23345,1.99822,1.64175,6.84429,5.50482,1.9983,1.62947
14.5,27.1277,5.21789,2.01066,1.64179,7.14105,5.49254,2.01062,1.6295
14.6,27.3048,5.19462,1.99733,1.64184,7.31799,5.47152,1.99729,1.62954
14.7,27.4892,5.17588,1.99834,1.64187,7.5024,5.45508,1.99832,1.62956
14.8,27.7072,5.17373,2.00215,1.64189,7.72087,5.45557,2.0022,1.62958
14.9,27.9254,5.16255,2.00201,1.64193,7.93936,5.44702,2.00202,1.6296
15,28.0808,5.14757,1.9953,1.64196,8.09486,5.43412,1.99531,1.62963
15.1,28.2865,5.1291,2.00065,1.64199,8.30052,5.41815,2.00062,1.62965
15.2,28.4861,5.11622,2.00002,1.64201,8.50032,5.40773,2.00003,1.62967
15.3,28.6879,5.10904,2.00032,1.64203,8.70248,5.40305,2.00035,1.62969
15.4,28.9046,5.09005,2.00171,1.64206,8.91913,5.38666,2.00168,1.62971
15.5,29.1244,5.0743,2.00205,1.64208,9.13904,5.37355,2.00203,1.62972
15.6,29.3471,5.05705,2.00231,1.6421,9.36178,5.35896,2.00229,1.62974
15.7,29.5117,5.05142,1.99655,1.64212,9.52685,5.35551,1.99659,1.62975
15.8,29.7134,5.03338,2.00021,1.64214,9.7285,5.33994,2.00019,1.62977
15.9,29.9531,5.01887,2.004,1.64215,9.96835,5.32824,2.00399,1.62978
16,30.1399,4.9859,1.99852,1.64217,10.1547,5.2976,1.99844,1.62979
16.1,30.3247,4.98133,1.99866,1.64216,10.3399,5.29539,1.99871,1.62978
16.2,30.5283,4.96306,2.00038,1.64216,10.5436,5.27961,2.00036,1.62978
16.3,30.7833,4.95209,2.00541,1.64215,10.7988,5.27159,2.00541,1.62978
16.4,30.951,4.93136,1.99682,1.64216,10.9664,5.25304,1.9968,1.62978
16.5,31.1516,4.92932,2.00025,1.64215,11.1676,5.25349,2.0003,1.62978
16.6,31.3205,4.91035,1.99704,1.64217,11.3365,5.23672,1.99703,1.62979
16.7,31.5464,4.90162,2.00258,1.64217,11.5627,5.2307,2.0026,1.62979
16.8,31.7506,4.88401,2.00038,1.64218,11.7669,5.21559,2.00037,1.6298
16.9,31.9388,4.88216,1.99905,1.64218,11.9558,5.21613,1.99911,1.6298
17,32.142,4.85705,2.00026,1.64221,12.1587,5.1935,2.00021,1.62982
17.1,32.3392,4.836,1.99973,1.64221,12.3559,5.17489,1.9997,1.62982
17.2,32.5145,4.82807,1.99783,1.6422,12.5315,5.16922,1.99786,1.62982
17.3,32.6531,4.80977,1.99443,1.64221,12.6701,5.15285,1.99442,1.62982
17.4,32.8393,4.79682,1.99886,1.64219,12.8566,5.14227,1.99887,1.62981
17.5,33.0391,4.78856,2.00008,1.64218,13.0567,5.13648,2.0001,1.6298
17.6,33.2238,4.78077,1.99872,1.64218,13.2418,5.13105,1.99875,1.6298
17.7,33.3896,4.76528,1.997,1.64219,13.4077,5.11773,1.997,1.62981
17.8,33.5927,4.74155,2.00028,1.6422,13.6106,5.0965,2.00024,1.62981
17.9,33.8147,4.71952,2.00192,1.64218,13.8325,5.07713,2.00189,1.6298
18,34.0157,4.70473,2.00012,1.64216,14.0337,5.06483,2.00012,1.62979
18.1,34.2155,4.69351,2.00004,1.64214,14.2337,5.05609,2.00005,1.62977
18.2,34.4011,4.67367,1.99877,1.64213,14.4193,5.0386,1.99875,1.62976
18.3,34.5884,4.66426,1.99899,1.64211,14.6069,5.03155,1.99901,1.62975
18.4,34.782,4.63521,1.99941,1.6421,14.8002,5.00491,1.99936,1.62974
18.5,34.9508,4.62291,1.9974,1.64206,14.9692,4.99481,1.99741,1.62971
18.6,35.175,4.60311,2.00208,1.64203,15.1934,4.97769,2.00206,1.62969
18.7,35.3825,4.5984,2.00071,1.642,15.4014,4.97553,2.00075,1.62966
18.8,35.5709,4.59074,1.99911,1.64198,15.5902,4.97025,1.99913,1.62965
18.9,35.793,4.5778,2.0019,1.64198,15.8125,4.95998,2.0019,1.62964
19,36.0166,4.57362,2.00204,1.64198,16.0365,4.95849,2.00207,1.62964
19.1,36.2108,4.55548,1.99952,1.64199,16.2308,4.94276,1.99951,1.62966
19.2,36.4201,4.55295,2.00087,1.642,16.4406,4.94279,2.00092,1.62967
19.3,36.6248,4.53671,2.00041,1.64203,16.6454,4.92905,2.0004,1.62969
19.4,36.7961,4.52128,1.9977,1.64205,16.8168,4.91584,1.9977,1.6297
19.5,36.9745,4.50034,1.99829,1.64207,16.9952,4.89718,1.99826,1.62972
19.6,37.196,4.48388,2.00176,1.64207,17.2167,4.88338,2.00175,1.62972
19.7,37.4069,4.4733,2.00092,1.64207,17.4279,4.87537,2.00093,1.62972
19.8,37.6207,4.45515,2.0011,1.64208,17.6417,4.85981,2.00109,1.62972
19.9,37.8104,4.43515,1.99919,1.64208,17.8314,4.84219,1.99917,1.62972
20,38.0188,4.42384,2.00072,1.64207,18.0401,4.83342,2.00073,1.62972
20.1,38.2093,4.39928,1.99924,1.64207,18.2304,4.81125,1.9992,1.62972
20.2,38.4347,4.38596,2.00202,1.64205,18.4559,4.80062,2.00202,1.6297
20.3,38.628,4.37066,1.99951,1.64204,18.6494,4.78774,1.9995,1.62969
20.4,38.8241,4.34305,1.99968,1.64202,18.8452,4.76255,1.99963,1.62968
20.5,39.0501,4.32506,2.00201,1.64199,19.0712,4.74726,2.002,1.62965
20.6,39.2557,4.3125,2.00045,1.64195,19.277,4.73722,2.00046,1.62963
20.7,39.4527,4.29614,1.9998,1.64192,19.4742,4.7233,1.9998,1.62961
20.8,39.645,4.2829,1.99946,1.64189,19.6666,4.71245,1.99946,1.62958
20.9,39.873,4.27219,2.00216,1.64187,19.8949,4.70445,2.00217,1.62956
21,40.0751,4.26023,2.00019,1.64186,20.0973,4.69497,2.0002,1.62955
21.1,40.2706,4.24821,1.9997,1.64185,20.293,4.68537,1.99971,1.62955
21.2,40.456,4.23278,1.99896,1.64184,20.4786,4.67227,1.99896,1.62954
21.3,40.665,4.21699,2.0007,1.64183,20.6877,4.65902,2.0007,1.62954
21.4,40.8903,4.20388,2.00189,1.64183,20.9132,4.64859,2.00189,1.62953
21.5,41.1027,4.18978,2.00093,1.64182,21.1258,4.63706,2.00093,1.62953
21.6,41.3103,4.17117,2.00056,1.64182,21.3334,4.62097,2.00055,1.62953
21.7,41.5137,4.15759,2.00027,1.64181,21.5369,4.60987,2.00028,1.62952
21.8,41.7112,4.1511,1.99989,1.64181,21.7349,4.60582,1.99991,1.62952
21.9,41.9076,4.14224,1.9998,1.64182,21.9317,4.59939,1.99982,1.62952
22,42.111,4.13181,2.00029,1.64183,22.1353,4.59144,2.0003,1.62954
22.1,42.3135,4.11342,2.0002,1.64186,22.3379,4.57553,2.00019,1.62955
22.2,42.4914,4.10588,1.9985,1.64187,22.5162,4.57025,1.99852,1.62956
22.3,42.6438,4.08766,1.9967,1.64189,22.6686,4.55407,1.99669,1.62958
22.4,42.8469,4.0794,2.00029,1.64189,22.872,4.5483,2.00031,1.62958
22.5,43.0286,4.06762,1.99877,1.64191,23.0539,4.53881,1.99878,1.62959
22.6,43.2276,4.05153,1.99997,1.64193,23.2531,4.52518,1.99997,1.6296
22.7,43.4124,4.03813,1.99899,1.64194,23.438,4.5141,1.99899,1.62961
22.8,43.6276,4.02713,2.00109,1.64195,23.6535,4.5057,2.0011,1.62962
22.9,43.8139,4.01056,1.99908,1.64196,23.8398,4.49147,1.99908,1.62963
23,43.9753,3.98876,1.9974,1.64197,24.0011,4.4718,1.99737,1.62964
23.1,44.1857,3.97003,2.00074,1.64196,24.2115,4.45563,2.00073,1.62963
23.2,44.3779,3.95185,1.99949,1.64195,24.4037,4.43985,1.99948,1.62962
23.3,44.5716,3.93537,1.99961,1.64193,24.5975,4.42577,1.9996,1.62961
23.4,44.758,3.91955,1.99913,1.6419,24.7841,4.4123,1.99913,1.62959
23.5,44.9514,3.90538,1.9996,1.64187,24.9776,4.40054,1.9996,1.62957
23.6,45.178,3.88956,2.00179,1.64185,25.2043,4.38742,2.00178,1.62955
23.7,45.3709,3.87461,1.99955,1.64183,25.3974,4.37486,1.99955,1.62953
23.8,45.5585,3.86384,1.99923,1.6418,25.5853,4.36644,1.99924,1.62952
23.9,45.7819,3.85107,2.00157,1.64179,25.8089,4.35634,2.00158,1.62951
24,45.9803,3.84872,1.99995,1.64178,26.0079,4.35644,1.99998,1.6295
24.1,46.1863,3.8289,2.00041,1.64179,26.2138,4.33913,2.00039,1.62951
24.2,46.3746,3.81895,1.99929,1.6418,26.4024,4.33153,1.9993,1.62951
24.3,46.6105,3.80936,2.00235,1.64181,26.6387,4.32472,2.00236,1.62952
24.4,46.8093,3.7933,1.99994,1.64183,26.8376,4.31111,1.99993,1.62954
24.5,47.038,3.77128,2.00184,1.64185,27.0661,4.29181,2.00181,1.62955
24.6,47.2215,3.75893,1.99898,1.64185,27.2498,4.28177,1.99899,1.62955
24.7,47.3737,3.7422,1.99702,1.64185,27.4021,4.26707,1.99701,1.62955
24.8,47.5747,3.72883,2.00012,1.64185,27.6034,4.25617,2.00012,1.62955
24.9,47.7625,3.72261,1.99928,1.64184,27.7915,4.2523,1.9993,1.62955
25,47.9759,3.70374,2.00086,1.64185,28.0049,4.23601,2.00085,1.62955
25.1,48.1781,3.68965,2.00016,1.64185,28.2073,4.2244,2.00016,1.62955
25.2,48.3988,3.67175,2.0013,1.64186,28.4281,4.20914,2.00129,1.62956
25.3,48.6071,3.66075,2.00054,1.64185,28.6366,4.20068,2.00055,1.62955
25.4,48.8018,3.65135,1.99971,1.64186,28.8317,4.1937,1.99973,1.62956
25.5,48.9773,3.63293,1.99853,1.64187,29.0072,4.17752,1.99852,1.62957
25.6,49.1657,3.62566,1.99935,1.64187,29.1959,4.1726,1.99937,1.62957
25.7,49.3584,3.61259,1.99959,1.64189,29.3888,4.16193,1.9996,1.62958
25.8,49.5416,3.59715,1.99902,1.6419,29.5722,4.1488,1.99902,1.62959
25.9,49.7256,3.58219,1.99907,1.64191,29.7563,4.13616,1.99907,1.62959
